DayOfYear,Lat,Lon
212.000,80.882,348.327
212.125,80.876,348.297
212.250,80.878,348.310
212.375,80.868,348.283
212.500,80.855,348.228
212.625,80.851,348.207
212.750,80.854,348.237
212.875,80.850,348.259
213.000,80.836,348.193
213.125,80.832,348.127
213.250,80.842,348.179
213.375,80.840,348.205
213.500,80.832,348.172
213.625,80.822,348.094
213.750,80.824,348.084
213.875,80.824,348.146
214.000,80.811,348.110
214.125,80.802,348.024
214.250,80.804,348.036
214.375,80.797,348.054
214.500,80.789,348.021
214.625,80.785,347.966
214.750,80.786,347.931
214.875,80.787,347.963
215.000,80.776,347.930
215.125,80.775,347.895
215.250,80.772,347.874
215.375,80.771,347.880
215.500,80.767,347.875
215.625,80.762,347.870
215.750,80.762,347.874
215.875,80.766,347.929
216.000,80.761,347.986
216.125,80.751,347.921
216.250,80.757,347.919
216.375,80.760,347.958
216.500,80.753,347.985
216.625,80.748,347.993
216.750,80.747,347.976
216.875,80.755,348.032
217.000,80.757,348.129
217.125,80.749,348.134
217.250,80.746,348.084
217.375,80.751,348.143
217.500,80.751,348.208
217.625,80.745,348.232
217.750,80.739,348.210
217.875,80.749,348.222
218.000,80.757,348.307
218.125,80.751,348.350
218.250,80.739,348.279
218.375,80.749,348.299
218.500,80.754,348.383
218.625,80.750,348.433
218.750,80.741,348.440
218.875,80.745,348.417
219.000,80.756,348.570
219.125,80.749,348.694
219.250,80.729,348.642
219.375,80.740,348.590
219.500,80.759,348.728
219.625,80.759,348.819
219.750,80.745,348.834
219.875,80.740,348.736
220.000,80.757,348.846
220.125,80.753,349.020
220.250,80.724,348.974
220.375,80.716,348.790
220.500,80.733,348.812
220.625,80.734,348.895
220.750,80.711,348.958
220.875,80.699,348.775
221.000,80.721,348.783
221.125,80.731,348.988
221.250,80.703,349.039
221.375,80.683,348.853
221.500,80.704,348.822
221.625,80.719,348.978
221.750,80.695,349.103
221.875,80.669,348.893
222.000,80.683,348.772
222.125,80.706,348.914
222.250,80.687,349.049
222.375,80.666,348.872
222.500,80.670,348.796
222.625,80.692,348.879
222.750,80.685,349.044
222.875,80.656,348.942
223.000,80.663,348.797
223.125,80.694,348.888
223.250,80.686,349.105
223.375,80.654,348.986
223.500,80.668,348.877
223.625,80.684,348.878
223.750,80.687,348.947
223.875,80.664,349.030
224.000,80.660,348.823
224.125,80.699,348.860
224.250,80.705,349.054
224.375,80.676,349.002
224.500,80.679,348.848
224.625,80.706,348.829
224.750,80.720,348.979
224.875,80.699,349.013
225.000,80.687,348.820
225.125,80.719,348.775
225.250,80.730,348.912
225.375,80.731,348.909
225.500,80.730,348.905
225.625,80.728,348.908
225.750,80.723,348.891
225.875,80.701,348.945
226.000,80.663,348.778
226.125,80.662,348.691
226.250,80.659,348.807
226.375,80.627,348.822
226.500,80.602,348.771
226.625,80.592,348.671
226.750,80.603,348.687
226.875,80.591,348.821
227.000,80.555,348.715
227.125,80.550,348.557
227.250,80.568,348.609
227.375,80.549,348.659
227.500,80.531,348.578
227.625,80.529,348.518
227.750,80.540,348.510
227.875,80.542,348.688
228.000,80.517,348.671
228.125,80.514,348.564
228.250,80.531,348.657
228.375,80.533,348.713
228.500,80.530,348.732
228.625,80.534,348.727
228.750,80.543,348.723
228.875,80.553,348.833
229.000,80.542,348.920
229.125,80.534,348.906
229.250,80.546,348.889
229.375,80.560,348.949
229.500,80.563,349.002
229.625,80.561,349.040
229.750,80.561,349.062
229.875,80.565,349.121
230.000,80.563,349.256
230.125,80.548,349.296
230.250,80.534,349.261
230.375,80.536,349.273
230.500,80.530,349.346
230.625,80.514,349.406
230.750,80.493,349.421
230.875,80.481,349.405
231.000,80.470,349.435
231.125,80.453,349.458
231.250,80.432,349.424
231.375,80.426,349.393
231.500,80.417,349.421
231.625,80.397,349.475
